Local; Continente 
PALAU;OCEANIA
PALESTINA;ÁSIA
PANAMÁ;AMÉRICA
PAPUA-NOVA GUINÉ;OCEANIA
PAQUISTÃO;ÁSIA
PARAGUAI;AMÉRICA
PERU;AMÉRICA
POLINÉSIA FRANCESA;OCEANIA
POLÔNIA;EUROPA
PORTO RICO;AMÉRICA
PORTUGAL;EUROPA
QUÊNIA;ÁFRICA
QUIRGUIZISTÃO;ÁSIA
QUIRIBATI;OCEANIA
REINO UNIDO;EUROPA
REPÚBLICA CENTRO-AFRICANA;ÁFRICA
CONGO, REPUBLICA DEMOCRATICA DO;ÁFRICA
REPÚBLICA DO CONGO;ÁFRICA
REPÚBLICA DOMINICANA;AMÉRICA
REPÚBLICA TCHECA;EUROPA
REUNIÃO;ÁFRICA
ROMÊNIA;EUROPA
RUANDA;ÁFRICA
RUSSIA, FEDERAÇAO DA;EUROPA
SAARA OCIDENTAL;ÁFRICA
SABA;AMÉRICA
SAMOA;OCEANIA
SAMOA AMERICANA;OCEANIA
SAN MARINO;EUROPA
SANTA HELENA;ÁFRICA
SANTA LÚCIA;AMÉRICA
SANTO EUSTÁQUIO;AMÉRICA
SÃO BARTOLOMEU;AMÉRICA
SÃO CRISTÓVÃO E NEVES;AMÉRICA
SÃO MARTINHO FRANCESA;AMÉRICA
SÃO MARTINHO HOLANDESA;AMÉRICA
SÃO PEDRO E MIQUELON;AMÉRICA
SÃO TOMÉ E PRÍNCIPE;ÁFRICA
SÃO VICENTE E GRANADINAS;AMÉRICA
SEICHELES;ÁFRICA
SENEGAL;ÁFRICA
SERRA LEOA;ÁFRICA
SÉRVIA;EUROPA
SINGAPURA;ÁSIA
SIRIA, REPUBLICA ARABE DA;ÁSIA
SOMÁLIA;ÁFRICA
SOMALILÂNDIA;ÁFRICA
SRI LANKA;ÁSIA
SUAZILÂNDIA;ÁFRICA
SUDÃO;ÁFRICA
SUDÃO DO SUL;ÁFRICA
SUÉCIA;EUROPA
SUÍÇA;EUROPA
SURINAME;AMÉRICA
TAILÂNDIA;ÁSIA
TAIWAN (FORMOSA, REPUBLICA DA;ÁSIA
TAJIQUISTÃO;ÁSIA
TANZÂNIA;ÁFRICA
TERRITÓRIO BRITÂNICO DO OCEANO ÍNDICO;ÁSIA
TERRITÓRIOS AUSTRAIS FRANCESES;ÁSIA
TIMOR LESTE;ÁSIA
TOGO;ÁFRICA
TOKELAU;OCEANIA
TONGA;OCEANIA
TRANSNÍSTRIA;EUROPA
TRINDADE E TOBAGO;AMÉRICA
TUNÍSIA;ÁFRICA
TURQUEMENISTÃO;ÁSIA
TURQUIA;ÁSIA
TUVALU;OCEANIA
UCRÂNIA;EUROPA
UGANDA;ÁFRICA
URUGUAI;AMÉRICA
UZBEQUISTÃO;ÁSIA
VANUATU;OCEANIA
VATICANO;EUROPA
VENEZUELA;AMÉRICA
VIETNÃ;ÁSIA
WALLIS E FUTUNA;OCEANIA
ZÂMBIA;ÁFRICA
ZANZIBAR;ÁFRICA
ZIMBABUÉ;ÁFRICA
